,Customer_name,Description,Material Group,Invoice_Quantity,Unit_Weight(Grams),Part_Size,Net_Weight(KG),Sales_Amount_(INR),Material_Cost,Sales_Person,Sub_Group,Sub_Group_Description,clusters,Clus_kmeans,sil_width
256,M/S WELDOLLOYS,HEX NUT 3/4UNC  GR 8*,NUT,1600,57.8,Heavy,92.48,20559.62,11648,DEEPALI WALIA,NUT,ALLOY STEEL,8,0,0.755164182
257,YES TECHNO LTD,HEX NUT M24X3 GR10*,NUT,1000,115.45,Extra Heavy,115.45,20285.07,14890,JYOTI KAWATRA,NUT,ALLOY STEEL,14,0,0.687389466
258,BHARAT BOLT AGENCIES,SHCS M8  x  35 12.9 F/T BLACK *,SHCS,6090,18.8998358,Medium,115.1,20257.17,18148.2,JYOTI KAWATRA,SHCS,ALLOY STEEL,14,0,0.654422578
259,SUNSHINE AGENCIES (INDIA) LLP,CSK M6  x  10 12.9 F/T BLACK *,CSK,8000,2.7,Extra Light,21.6,20140.03,3280,DEEPALI WALIA,CSK,ALLOY STEEL,13,0,0.628945175
260,SANGHVI ENTERPRISES,SHCS M6X80 12.9 H/T BLACK*,SHCS,2000,19.8,Medium,39.6,20094.14,6440,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.783887183
261,M/S RAJESH ENTERPRISES,HHB M30X130 GR 10.9 BLACK*,HEX HEAD,100,911.4,Extra Heavy,91.14,20042.7,18815,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,14,2,0.516365375
262,YES TECHNO LTD,HHS M10X16 GR 10.9 BLACK*,HEX HEAD,5000,18.8,Medium,94,19939,17400,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,14,0,0.690552638
263,YES TECHNO LTD,HHB M10X50 GR 10.9 BLACK*,HEX HEAD,3000,37.84,Heavy,113.52,19859.62,19020,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,14,0,0.71594944
264,G.M. WELDING & MILLS STORE,SHCS 3/8 BSW X 1-1/4 F/T BLK*,SHCS,4000,23.47,Medium,93.88,19772.9,14320,JYOTI KAWATRA,SHCS,ALLOY STEEL,14,0,0.721221875
265,VINAYAK ENTERPRISE,CSK M16  x  65 12.9 F/T BLACK *,CSK,600,100.15,Extra Heavy,60.09,19718.65,8730,JYOTI KAWATRA,CSK,ALLOY STEEL,8,0,0.746611356
266,PRECISION INDUSTRIAL PRODUCTS,HEX NUT 5/8 UNC GR 8*,NUT,3175,34.9007874,Heavy,110.81,19596.42,13970,DEEPALI WALIA,NUT,ALLOY STEEL,14,0,0.730395268
267,G.M. WELDING & MILLS STORE,SHCS M14X90 12.9 H/T BLACK*,SHCS,600,120,Extra Heavy,72,19546.06,10980,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.713877151
268,GARRETT MOTION TECHNOLOGIES,TORX PAN HD M6X1X10 A286 GLEITMO*,SPL,1497,4.502338009,Extra Light,6.74,19535.85,15194.55,MONIKA DUA,PAN HEAD,A286,14,0,0.765193297
269,JINDAL PRECISION FASTENERS,CSK M8  x  30 12.9 F/T BLACK *,CSK,4535,11.70011025,Medium,53.06,19260.14,8344.4,JYOTI KAWATRA,CSK,ALLOY STEEL,8,0,0.728903631
270,JAY AMBAY ENTERPRISES,ALLEN KEY SHORT   M19 BLK *,ALLEN KEY,80,618.375,Extra Heavy,49.47,19246.34,14841.6,JYOTI KAWATRA,ALLEN KEY,ALLOY STEEL,14,2,0.58560259
271,SANDEEP ENGINEERING,HEX NUT M24X3 GR10*,NUT,1000,115.45,Extra Heavy,115.45,19167,14890,JYOTI KAWATRA,NUT,ALLOY STEEL,14,0,0.690190858
